name,year,rank,certificate,duration,genre,rating,description
Dial M for Murder,1954,165,A,105 min,"
Crime",8.2,"
    A tennis player tries to arrange his wife's murder after learning of her affair."
Tôkyô monogatari,1953,166,U,136 min,"
Drama            ",8.2,"
    An old couple visit their children and grandchildren in the city, but receive little attention."
Rashômon,1950,167,None,88 min,"
Crime",8.2,"
    The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
All About Eve,1950,168,None,138 min,"
Drama            ",8.2,"
    A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends."
The Treasure of the Sierra Madre,1948,169,None,126 min,"
Adventure",8.2,"
    Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
To Be or Not to Be,1942,170,None,99 min,"
Comedy",8.2,"
    During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
The Gold Rush,1925,171,None,95 min,"
Adventure",8.2,"
    A prospector goes to the Klondike in search of gold and finds it and more."
Sherlock Jr.,1924,172,None,45 min,"
Action",8.2,"
    A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
Portrait de la jeune fille en feu,2019,173,R,122 min,"
Drama",8.1,"
    On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
Koe no katachi,2016,174,16,130 min,"
Animation",8.1,"
    A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
Contratiempo,2016,175,16,106 min,"
Crime",8.1,"
    A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence."
Ah-ga-ssi,2016,176,A,145 min,"
Drama",8.1,"
    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Logan,2017,177,A,137 min,"
Action",8.1,"
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Room,I 2015,178,16,118 min,"
Drama",8.1,"
    Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Relatos salvajes,2014,179,R,122 min,"
Comedy",8.1,"
    Six short stories that explore the extremities of human behavior involving people in distress."
The Grand Budapest Hotel,2014,180,R,99 min,"
Adventure",8.1,"
    A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Gone Girl,2014,181,A,149 min,"
Drama",8.1,"
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Hacksaw Ridge,2016,182,A,139 min,"
Biography",8.1,"
    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Inside Out,I 2015,183,U,95 min,"
Animation",8.1,"
    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
12 Years a Slave,2013,184,A,134 min,"
Biography",8.1,"
    In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Rush,I 2013,185,UA,123 min,"
Action",8.1,"
    The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda."
Ford v. Ferrari,2019,186,UA,152 min,"
Action",8.1,"
    American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966."
Spotlight,I 2015,187,R,129 min,"
Biography",8.1,"
    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Prisoners,2013,188,R,153 min,"
Crime",8.1,"
    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Mad Max: Fury Road,2015,189,UA,120 min,"
Action",8.1,"
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
Gran Torino,2008,190,R,116 min,"
Drama            ",8.1,"
    Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
Harry Potter and the Deathly Hallows: Part 2,2011,191,UA,130 min,"
Adventure",8.1,"
    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Hachi: A Dog's Tale,2009,192,None,93 min,"
Drama",8.1,"
    A college professor bonds with an abandoned dog he takes into his home."
Mary and Max,2009,193,None,92 min,"
Animation",8.1,"
    A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
How to Train Your Dragon,2010,194,U,98 min,"
Animation",8.1,"
    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Into the Wild,2007,195,16,148 min,"
Adventure",8.1,"
    After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
No Country for Old Men,2007,196,R,122 min,"
Crime",8.1,"
    Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande."
Million Dollar Baby,2004,197,UA,132 min,"
Drama",8.1,"
    A determined woman works with a hardened boxing trainer to become a professional."
Hotel Rwanda,2004,198,PG-13,121 min,"
Biography",8.1,"
    Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Before Sunset,2004,199,R,80 min,"
Drama",8.1,"
    Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Salinui chueok,2003,200,UA,131 min,"
Action",8.1,"
    In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Kill Bill: Vol. 1,2003,201,R,111 min,"
Action",8.1,"
    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Finding Nemo,2003,202,U,100 min,"
Animation",8.1,"
    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Catch Me If You Can,2002,203,A,141 min,"
Biography",8.1,"
    A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
Amores perros,2000,204,R,154 min,"
Drama",8.1,"
    A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
The Sixth Sense,1999,205,UA,107 min,"
Drama",8.1,"
    A boy who communicates with spirits seeks the help of a disheartened child psychologist."
The Truman Show,1998,206,U,103 min,"
Comedy",8.1,"
    An insurance salesman discovers his whole life is actually a reality TV show."
The Big Lebowski,1998,207,R,117 min,"
Comedy",8.1,"
    Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
Fa yeung nin wah,2000,208,U,98 min,"
Drama",8.1,"
    Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Trainspotting,1996,209,A,93 min,"
Drama            ",8.1,"
    Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Fargo,1996,210,A,98 min,"
Crime",8.1,"
    Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson."
La haine,1995,211,UA,98 min,"
Crime",8.1,"
    24 hours in the lives of three young men in the French suburbs the day after a violent riot."
Before Sunrise,1995,212,16,101 min,"
Drama",8.1,"
    A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Trois couleurs: Rouge,1994,213,U,99 min,"
Drama",8.1,"
    A model discovers a retired judge is keen on invading people's privacy."
Jurassic Park,1993,214,UA,127 min,"
Action",8.1,"
    A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
In the Name of the Father,1993,215,UA,133 min,"
Biography",8.1,"
    A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them."
Dead Poets Society,1989,216,U,128 min,"
Comedy",8.1,"
    Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression."
The Princess Bride,1987,217,U,98 min,"
Adventure",8.1,"
    While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Stand by Me,1986,218,U,89 min,"
Adventure",8.1,"
    After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
Platoon,1986,219,A,120 min,"
Drama",8.1,"
    A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man."
"Paris, Texas",1984,220,U,145 min,"
Drama            ",8.1,"
    Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
Kaze no tani no Naushika,1984,221,U,117 min,"
Animation",8.1,"
    Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet."
The Thing,1982,222,A,109 min,"
Horror",8.1,"
    A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims."
Blade Runner,1982,223,UA,117 min,"
Action",8.1,"
    A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
The Elephant Man,1980,224,UA,124 min,"
Biography",8.1,"
    A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
Life of Brian,1979,225,None,94 min,"
Comedy            ",8.1,"
    Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
The Deer Hunter,1978,226,A,183 min,"
Drama",8.1,"
    An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania."
Rocky,1976,227,U,120 min,"
Drama",8.1,"
    A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect."
Network,1976,228,UA,121 min,"
Drama            ",8.1,"
    A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit."
Barry Lyndon,1975,229,None,185 min,"
Adventure",8.1,"
    An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England."
Cool Hand Luke,1967,230,A,127 min,"
Crime",8.1,"
    A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Persona,1966,231,None,85 min,"
Drama",8.1,"
    A nurse is put in charge of a mute actress and finds that their personae are melding together."
Andrei Rublev,1966,232,None,205 min,"
Biography",8.1,"
    The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
La battaglia di Algeri,1966,233,None,121 min,"
Drama",8.1,"
    In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Les quatre cents coups,1959,234,None,99 min,"
Crime",8.1,"
    A young boy, left without attention, delves into a life of petty crime."
Ben-Hur,1959,235,U,212 min,"
Adventure",8.1,"
    After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
The Bridge on the River Kwai,1957,236,PG,161 min,"
Adventure",8.1,"
    British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
On the Waterfront,1954,237,A,108 min,"
Crime",8.1,"
    An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses."
Le salaire de la peur,1953,238,None,131 min,"
Adventure",8.1,"
    In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
The Third Man,1949,239,None,104 min,"
Film-Noir",8.1,"
    Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
Rebecca,1940,240,None,130 min,"
Drama",8.1,"
    A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence."
Mr. Smith Goes to Washington,1939,241,None,129 min,"
Comedy",8.1,"
    A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
Gone with the Wind,1939,242,None,238 min,"
Drama",8.1,"
    A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods."
It Happened One Night,1934,243,None,105 min,"
Comedy",8.1,"
    A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story."
La passion de Jeanne d'Arc,1928,244,None,110 min,"
Biography",8.1,"
    In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
The Circus,1928,245,None,72 min,"
Comedy",8.1,"
    The Tramp finds work and the girl of his dreams at a circus."
The General,1926,246,None,67 min,"
Action",8.1,"
    When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
The Help,2011,247,UA,146 min,"
Drama            ",8,"
    An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
"Monsters, Inc.",2001,248,U,92 min,"
Animation",8,"
    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
Aladdin,1992,249,U,90 min,"
Animation",8,"
    A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
The Terminator,1984,250,UA,107 min,"
Action",8,"
    A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
